League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,2.2,Laura Bourgouin · 36&rsquor;,1,0,Guingamp,5-4-1,1,0.4,Antonie Stárová · 8&rsquor;,2,0,Guingamp,Away,NA,990,21,11,11,10,0,13,22,59.1,9,14,3,11,12,33,11,0
Championnat de France de Football Féminin,2024-02-04,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,3,3.4,Kaja Korošec · 70&rsquor; Kessya Bussy · 76&rsquor; Kaja Korošec · 90+6&rsquor;,3,0,Lille,4-4-2,2,0.8,Anaïs Ribeyra · 65&rsquor; Lorena Azzaro · 71&rsquor;,1,0,Paris FC,Home,NA,990,23,18,4,16,3,12,16,75,4,11,1,10,10,33,8,0
Championnat de France de Football Féminin,2024-02-04,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,3,3.4,Kaja Korošec · 70&rsquor; Kessya Bussy · 76&rsquor; Kaja Korošec · 90+6&rsquor;,3,0,Lille,4-4-2,2,0.8,Anaïs Ribeyra · 65&rsquor; Lorena Azzaro · 71&rsquor;,1,0,Lille,Away,NA,990,33,24,24,9,0,18,28,64.3,10,23,3,20,22,55,26,0
Championnat de France de Football Féminin,2024-02-09,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,0,0.3,NA,2,0,Montpellier,4-5-1,3,3.3,Faustine Robert · 19&rsquor; Soufiya Ngueleu · 62&rsquor; Lea Khelifi · 90+2&rsquor;,1,0,Stade de Reims,Home,NA,990,27,16,8,13,6,11,24,45.8,13,15,5,10,16,43,29,0
Championnat de France de Football Féminin,2024-02-09,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,0,0.3,NA,2,0,Montpellier,4-5-1,3,3.3,Faustine Robert · 19&rsquor; Soufiya Ngueleu · 62&rsquor; Lea Khelifi · 90+2&rsquor;,1,0,Montpellier,Away,NA,990,32,19,17,11,4,17,30,56.7,13,10,1,9,20,52,10,0
Championnat de France de Football Féminin,2024-02-10,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,2,1.8,Hillary Diaz · 16&rsquor; Abi Kim · 29&rsquor;,1,0,Paris FC,4-2-3-1,6,3.2,Daphne Corboz · 27&rsquor; Julie Dufour · 48&rsquor; Clara Matéo · 49&rsquor; Clara Matéo · 52&rsquor; Julie Dufour · 68&rsquor; Clara Matéo · 72&rsquor;,1,0,Bordeaux,Home,NA,990,15,12,12,2,1,9,15,60,6,11,6,5,12,27,28,2
Championnat de France de Football Féminin,2024-02-10,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,2,1.8,Hillary Diaz · 16&rsquor; Abi Kim · 29&rsquor;,1,0,Paris FC,4-2-3-1,6,3.2,Daphne Corboz · 27&rsquor; Julie Dufour · 48&rsquor; Clara Matéo · 49&rsquor; Clara Matéo · 52&rsquor; Julie Dufour · 68&rsquor; Clara Matéo · 72&rsquor;,1,0,Paris FC,Away,NA,990,12,9,2,7,3,6,12,50,6,5,1,4,7,19,12,1
Championnat de France de Football Féminin,2024-02-10,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-2-3-1,2,3.8,Noémie Carage · 59&rsquor; Cindy Caputo · 87&rsquor;,3,0,Dijon,4-2-3-1,0,0.2,NA,2,0,Saint-Étienne,Home,NA,990,15,8,5,9,1,8,17,47.1,9,8,1,7,17,32,17,0
Championnat de France de Football Féminin,2024-02-10,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-2-3-1,2,3.8,Noémie Carage · 59&rsquor; Cindy Caputo · 87&rsquor;,3,0,Dijon,4-2-3-1,0,0.2,NA,2,0,Dijon,Away,NA,990,20,18,5,10,5,14,24,58.3,10,6,3,3,7,27,14,0
Championnat de France de Football Féminin,2024-02-10,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,3,1.5,Anaïs Ribeyra · 25&rsquor; Julie Machart · 48&rsquor; Julie Pian · 57&rsquor;,3,0,Le Havre,4-1-4-1,3,2.1,Romane Enguehard · 4&rsquor; Mickaélla Cardia · 45&rsquor; Inès Benyahia (P) · 86&rsquor;,1,0,Lille,Home,NA,990,14,10,7,7,0,9,20,45,11,5,1,4,16,30,7,0
