match_id,season,competition,player_id,player_name,team,is_home,is_starter,age,position_id,usual_position_id,shirt_number,country,formation,rating,minutes_played,first_name,last_name,goals_in_match,assists_in_match,position_name
4829667,2025,2. Bundesliga,926446,Simon Asta,Kaiserslautern,True,True,24.0,72,2,2,Germany,3-4-3,6.8,88,Simon,Asta,0,0,Midfielder
4829667,2025,2. Bundesliga,808155,Fabian Kunze,Kaiserslautern,True,True,27.0,74,2,6,Germany,3-4-3,7.3,90,Fabian,Kunze,0,0,Midfielder
4829667,2025,2. Bundesliga,1083342,Semih Sahin,Kaiserslautern,True,True,25.0,76,2,8,Germany,3-4-3,6.1,88,Semih,Sahin,0,0,Midfielder
4829667,2025,2. Bundesliga,1659454,Mika Haas,Kaiserslautern,True,True,19.0,78,1,22,Germany,3-4-3,6.8,90,Mika,Haas,0,0,Midfielder
4829667,2025,2. Bundesliga,464251,Mahir Emreli,Kaiserslautern,True,True,28.0,103,3,10,Azerbaijan,3-4-3,6.4,72,Mahir,Emreli,0,0,Forward
4829667,2025,2. Bundesliga,891747,Daniel Hanslik,Kaiserslautern,True,True,28.0,105,3,19,Germany,3-4-3,7.1,72,Daniel,Hanslik,0,0,Forward
4829667,2025,2. Bundesliga,553556,Marlon Ritter,Kaiserslautern,True,True,30.0,107,2,7,Germany,3-4-3,8.3,81,Marlon,Ritter,1,0,Forward
4829667,2025,2. Bundesliga,287894,Loris Karius,Schalke 04,False,True,32.0,11,0,1,Germany,3-4-2-1,6.2,90,Loris,Karius,0,0,Goalkeeper
4829667,2025,2. Bundesliga,785739,Timo Becker,Schalke 04,False,True,28.0,33,1,5,Germany,3-4-2-1,7.1,90,Timo,Becker,0,0,Defender
4829667,2025,2. Bundesliga,794619,Hasan Kurucay,Schalke 04,False,True,27.0,35,1,4,Turkiye,3-4-2-1,6.9,70,Hasan,Kurucay,0,0,Defender
4829667,2025,2. Bundesliga,1436220,Felipe Sanchez,Schalke 04,False,True,21.0,37,1,2,Argentina,3-4-2-1,6.8,86,Felipe,Sanchez,0,0,Defender
4829667,2025,2. Bundesliga,1179182,Adrian Gantenbein,Schalke 04,False,True,24.0,62,1,17,Switzerland,3-4-2-1,6.8,63,Adrian,Gantenbein,0,0,Midfielder
4829667,2025,2. Bundesliga,820974,Ron Schallenberg,Schalke 04,False,True,26.0,64,1,6,Germany,3-4-2-1,6.6,90,Ron,Schallenberg,0,0,Midfielder
4829667,2025,2. Bundesliga,1249185,Soufian El-Faouzi,Schalke 04,False,True,23.0,66,2,23,Germany,3-4-2-1,6.9,90,Soufian,El-Faouzi,0,0,Midfielder
